Name,Completed Date,Status,Tags,Target Date
Lazy Loading Frappe Documents,"June 1, 2024",Complete,Personal Project,
Payments Refactor,"December 31, 2023",Complete,PM Project,
Docker speed investigation,,Near Future,Personal Project,
Backend Structural Changes,"September 30, 2023",Complete,Personal Project,
product multi-media,,Distant Future,,
search filters,,Near Future,Luis Project,
user reviews,,Distant Future,,
Contractor Dashboard,,Distant Future,,
AWS Cloudwatch Logging iOS,"May 1, 2024",Complete,Personal Project,
Public PR for Lazy Loader,,Near Future,Personal Project,
Inventory Valuation,"April 24, 2024",Complete,PM Project,
One Page Checkout,,Distant Future,,
3D secure,"August 9, 2024",Complete,PM Project,"August 15, 2024"
Reuse dynamic content througout mobile pages,"April 1, 2024",Complete,Personal Project,
Python Coding Tools,"November 30, 2023",Complete,Personal Project,
shipping rules,"July 15, 2024",Complete,PM Project,
Favourites iOS,"April 1, 2024",Complete,PM Project,"March 6, 2024"
Buy Again Categories filter,,In Progress,Luis Project,
