Name,URL,Status,Type
Steak,,New,Food
Kimchee fried rice,,New,Food
Chickpea Curry,https://thehappypear.ie/chickpea-curry/?fbclid=IwAR3p7AmESl_nyMTK0g3Rpo2VdvBwlHoeQGZn8_GhdUSi_N3oV502zV6QDbk,New,Food
Salad,,New,Food
Burgers,,New,Food
Cheese List,,New,Food
Hot pot sauce,,New,Food
Blueberry Chocolate Protein Smoothie,,New,Food
Air Frier Chicken,,New,Food
Baked Buffalo Chicken Taquitos,,New,Food
Salmon,,New,Food
Spaghetti - ground beef,,New,Food
Feta Tomato Pasta,https://www.thecountrycook.net/feta-tomato-pasta/,New,Food
Air frier potato wedges,,New,Food
Ribs,,New,Food
Chicken Quarters,,New,Food
‘Hot Pot’ Soup,,New,Food
Tequila Old Fashioned,,New,Drink
Fascar (from Organic Boutique),,Recipe Book,Drink
" Attempt: Gin + lime + peach soda",,New,Drink
Jungle Bird,,New,Drink
Sidecar,,Recipe Book,Drink
Cointreau-Campari Spritz,,New,Drink
Northern Spy (Mordecai),,New,Drink
Burnt Yuzu,,New,Drink
Databases,,New,
Whisky Hot Toddy,,New,Drink
Yuzu sour,,New,Drink
