Name,Number,This Weeks Prompt
Something you did this week that I noticed and appreciated.,1,No
One way my life is easier or better because you’re in it.,2,No
Something about how you handle situations that I respect.,3,No
A reason I trust you or feel secure with you.,4,No
A small moment with you that stuck with me.,5,No
A strength of yours that doesn’t get enough credit.,6,Yes
A time you supported me in a way that mattered more than you probably realized.,7,No
"Something about you that has influenced how I think, act, or see things.",8,No
A way you bring calm or stability into my life.,9,No
Something that makes me confident about us as a team.,10,No
Something specific I appreciate about you that I don’t say often.,11,No
Something I’m looking forward to experiencing or building with you.,12,No
