Name,Status,Type,URL
Chickpea Curry,New,Food,https://thehappypear.ie/chickpea-curry/?fbclid=IwAR3p7AmESl_nyMTK0g3Rpo2VdvBwlHoeQGZn8_GhdUSi_N3oV502zV6QDbk
Salad,New,Food,
Tequila Old Fashioned,New,Drink,
Fascar (from Organic Boutique),Recipe Book,Drink,
Burgers,New,Food,
Cheese List,New,Food,
Kimchee fried rice,New,Food,
" Attempt: Gin + lime + peach soda",New,Drink,
Hot pot sauce,New,Food,
Blueberry Chocolate Protein Smoothie,New,Food,
Air Frier Chicken,New,Food,
Baked Buffalo Chicken Taquitos,New,Food,
Jungle Bird,New,Drink,
Sidecar,Recipe Book,Drink,
Cointreau-Campari Spritz,New,Drink,
Salmon,New,Food,
Spaghetti - ground beef,New,Food,
Feta Tomato Pasta,New,Food,https://www.thecountrycook.net/feta-tomato-pasta/
Air frier potato wedges,New,Food,
Northern Spy (Mordecai),New,Drink,
Ribs,New,Food,
Chicken Quarters,New,Food,
Burnt Yuzu,New,Drink,
Steak,New,Food,
‘Hot Pot’ Soup,New,Food,
Databases,New,,
Whisky Hot Toddy,New,Drink,
Yuzu sour,New,Drink,
