Name,+,Asignee,Blocked by,Blocking,Date,Formula,Hidden Properties,Hour Estimate <= 3,Name (attr),Progress,Project,State,isInWarning,isNext
Make Dnd Characters,,,,,,,,,,,,Done,,No
Bike Patch Kit,,,,,,,,,,,,Done,,No
Gutters,,,,,,,,,,,,Done,,No
Setup Filter Replacements,,,,,,,,,,,,Done,,No
RSVP Steve + Eila,,,,,,,,,,,,Done,,No
Car rentals Cottage,,,,,,,,,,,,Done,,No
"Camping materials, cooking stuff",,,,,,,,,,,,Done,,No
"Harrys wedding, hotels / driving?",,,,,,,,,,,,Done,,No
Witch cottage planning,,,,,,,,,,,,Done,,No
Card for Raph + Baily,,,,,,,,,,,,Done,,No
Camp Meal planning,,,,,,,,,,,,Done,,No
Book airbnb Ottawa October,,,,,,,,,,,,Done,,No
Clean up upstairs closet,,,,,,,,,,,,Done,,No
"Follow up on Atomic Habits writing ",,,,,,,,,,,,Done,,No
Fake trees,,,,,,,,,,,,Done,,No
Plan Steves Cottage,,,,,,,,,,,,Done,,No
Pay Back Erin,,,,,,,,,,,,Done,,No
Decide on Cancelled CAA,,,,,,,,,,,,Done,,No
Plan a warehouse rave in November,,,,,,,,,,,,Done,,No
Fall walk cemetery,,,,,,,,,,,,Done,,No
counseling - To book,,,,,,,,,,,,Done,,No
First Status Check,,,,,,,,,,,,Done,,No
Second Status Check,,,,,,,,,,,,Done,,No
Third Status Check,,,,,,,,,,,,Done,,No
Meal plan for when Erin is busy,,,,,,,,,,,,Done,,No
Book Car Rental (Steves Cottage),,,,,,,,,,,,Done,,No
Close wealth simple,,,,,,,,,,,,Done,,No
upstairs patio cleanup,,,,,,,,,,,,Done,,No
Erin's birthday,,,,,,,,,,,,Done,,No
Cancel / switch Virgin,,,,,,,,,,,,Done,,No
Indoor gym shoes,,,,,,,,,,,,Done,,No
Dry clean suit,,,,,,,,,,,,Done,,No
Plan Feb cottage,,,,,,,,,,,,Done,,No
Fourth Status Check,,,,,,,,,,,,Done,,No
Help Erin with Apple watch,,,,,,,,,,,,Done,,No
Cancel Goodlife,,,,,,,,,,,,Done,,No
Test,,,,,"April 22, 2024 → April 22, 2024","April 22, 2024 6:00 PM",,,Test,,,Done,Yes,No
Complete basic MVP for ScreenTimeHero,,,,,"May 9, 2024","May 9, 2024 6:00 PM",——————————————————-,3,Complete basic MVP for ScreenTimeHero,,,Done,Yes,No
Project plan game jam,,,,,"May 14, 2024","May 14, 2024 6:00 PM",——————————————————-,1,Project plan game jam,,,Done,Yes,No
Complete Designs,,,,,"May 27, 2024","May 27, 2024 6:00 PM",——————————————————-,2,Complete Designs,,Screen Time Hero,Done,Yes,No
,,,,,,,——————————————————-,,,,Screen Time Hero,Done,,No
Work designs into components,,,,,"June 11, 2024","June 11, 2024 6:00 PM",——————————————————-,,Work designs into components,,,Done,Yes,No
Quickly add tasks Siri,,,,,,,——————————————————-,,,,,Needs Scheduling,,No
